INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182009246,01402,Vandalism,VANDALISM,B3,432,,2018-02-04 16:26:00,2018,2,Sunday,16,Part Two,JACOB ST,42.28541846,-71.08366378,"(42.28541846, -71.08366378)"
I182009244,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,295,,2018-02-04 15:20:00,2018,2,Sunday,15,Part Three,DABNEY ST,42.32451689,-71.08377030,"(42.32451689, -71.08377030)"
I182009242,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,309,,2018-02-04 16:51:00,2018,2,Sunday,16,Part Two,MARTIN LUTHER KING JR BLV,42.31860134,-71.08405792,"(42.31860134, -71.08405792)"
I182009239,03410,Towed,TOWED MOTOR VEHICLE,D14,778,,2018-02-04 13:58:00,2018,2,Sunday,13,Part Three,WASHINGTON ST,42.34905600,-71.15049850,"(42.34905600, -71.15049850)"
I182009237,00613,Larceny,LARCENY SHOPLIFTING,C6,186,,2018-02-04 14:11:00,2018,2,Sunday,14,Part One,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)"
I182009236,03501,Missing Person Reported,MISSING PERSON,B2,281,,2018-02-04 15:46:00,2018,2,Sunday,15,Part Three,GREENVILLE ST,42.32696802,-71.08051941,"(42.32696802, -71.08051941)"
I182009236,03502,Missing Person Located,MISSING PERSON - LOCATED,B2,281,,2018-02-04 15:46:00,2018,2,Sunday,15,Part Three,GREENVILLE ST,42.32696802,-71.08051941,"(42.32696802, -71.08051941)"
I182009232,03301,Verbal Disputes,VERBAL DISPUTE,, ,,2018-02-04 15:22:00,2018,2,Sunday,15,Part Three,DORCHESTER,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182009230,03115,Investigate Person,INVESTIGATE PERSON,D4,130,,2018-02-04 15:10:00,2018,2,Sunday,15,Part Three,BOYLSTON ST,42.34980175,-71.07840978,"(42.34980175, -71.07840978)"
I182009229,00301,Robbery,ROBBERY - STREET,D4,141,,2018-02-04 14:37:00,2018,2,Sunday,14,Part One,HEREFORD ST,42.34894667,-71.08574065,"(42.34894667, -71.08574065)"
I182009228,03810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING �BICYCLE - INJURY,B2,238,,2018-02-04 14:54:00,2018,2,Sunday,14,Part Three,DUDLEY ST,42.31813522,-71.06763388,"(42.31813522, -71.06763388)"
I182009227,00613,Larceny,LARCENY SHOPLIFTING,B2,593,,2018-02-04 15:07:00,2018,2,Sunday,15,Part One,LONGWOOD AVE,42.33857000,-71.10670681,"(42.33857000, -71.10670681)"
I182009226,03114,Investigate Property,INVESTIGATE PROPERTY,C6,213,,2018-02-04 14:57:00,2018,2,Sunday,14,Part Three,ATHENS ST,42.33780344,-71.04817772,"(42.33780344, -71.04817772)"
I182009223,03201,Property Lost,PROPERTY - LOST,D4,627,,2018-02-04 14:03:00,2018,2,Sunday,14,Part Three,KILMARNOCK ST,42.34353469,-71.09980109,"(42.34353469, -71.09980109)"
I182009222,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E13,582,,2018-02-02 22:00:00,2018,2,Friday,22,Part One,CREIGHTON ST,42.32276657,-71.10838774,"(42.32276657, -71.10838774)"
I182009221,03205,License Plate Related Incidents,M/V PLATES - LOST,C11,452,,2018-01-30 21:30:00,2018,1,Tuesday,21,Part Three,WASHINGTON ST,42.29569680,-71.07214055,"(42.29569680, -71.07214055)"
I182009220,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,630,,2018-01-30 00:00:00,2018,1,Tuesday,0,Part Three,BUSWELL ST,42.34730994,-71.10634646,"(42.34730994, -71.10634646)"
I182009218,03201,Property Lost,PROPERTY - LOST,B3,447,,2018-02-04 14:50:00,2018,2,Sunday,14,Part Three,NORWELL ST,42.29512751,-71.07820832,"(42.29512751, -71.07820832)"
I182009217,03114,Investigate Property,INVESTIGATE PROPERTY,D14,793,,2018-02-04 13:09:00,2018,2,Sunday,13,Part Three,SCOTTFIELD RD,42.34751259,-71.13689285,"(42.34751259, -71.13689285)"
I182009216,00801,Simple Assault,ASSAULT - SIMPLE,D4,171,,2018-02-04 11:45:00,2018,2,Sunday,11,Part Two,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
I182009216,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,171,,2018-02-04 11:45:00,2018,2,Sunday,11,Part Two,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
I182009216,02610,Other,TRESPASSING,D4,171,,2018-02-04 11:45:00,2018,2,Sunday,11,Part Two,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
I182009216,02405,Disorderly Conduct,DISORDERLY CONDUCT,D4,171,,2018-02-04 11:45:00,2018,2,Sunday,11,Part Two,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
I182009216,02647,Other,THREATS TO DO BODILY HARM,D4,171,,2018-02-04 11:45:00,2018,2,Sunday,11,Part Two,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
I182009215,01402,Vandalism,VANDALISM,, ,,2018-02-04 08:30:00,2018,2,Sunday,8,Part Two,,42.33142190,-71.09437514,"(42.33142190, -71.09437514)"
I182009214,03301,Verbal Disputes,VERBAL DISPUTE,E13,906,,2018-02-04 13:27:00,2018,2,Sunday,13,Part Three,HEATH ST,42.32610077,-71.10433335,"(42.32610077, -71.10433335)"
I182009212,03301,Verbal Disputes,VERBAL DISPUTE,B2,280,,2018-02-04 13:37:00,2018,2,Sunday,13,Part Three,DUDLEY ST,42.32872589,-71.08382217,"(42.32872589, -71.08382217)"
I182009211,00617,Larceny,LARCENY THEFT FROM BUILDING,E5,723,,2018-02-04 13:36:00,2018,2,Sunday,13,Part One,VFW PKWY,42.26623736,-71.16843346,"(42.26623736, -71.16843346)"
I182009209,00613,Larceny,LARCENY SHOPLIFTING,D14,804,,2018-02-04 12:35:00,2018,2,Sunday,12,Part One,EVERETT ST,42.35595391,-71.13852468,"(42.35595391, -71.13852468)"
I182009208,00617,Larceny,LARCENY THEFT FROM BUILDING,A1,109,,2018-02-04 01:00:00,2018,2,Sunday,1,Part One,HIGH ST,42.35649296,-71.05259107,"(42.35649296, -71.05259107)"
I182009207,02629,Harassment,HARASSMENT,C6,214,,2018-02-04 09:30:00,2018,2,Sunday,9,Part Two,W FOURTH ST,42.33759774,-71.05089010,"(42.33759774, -71.05089010)"
I182009205,03115,Investigate Person,INVESTIGATE PERSON,E5,724,,2018-02-04 11:21:00,2018,2,Sunday,11,Part Three,SPRING ST,42.27129343,-71.17225873,"(42.27129343, -71.17225873)"
I182009203,03301,Verbal Disputes,VERBAL DISPUTE,E5,712,,2018-02-04 12:02:00,2018,2,Sunday,12,Part Three,FREEMAN AVE,42.26322593,-71.15678746,"(42.26322593, -71.15678746)"
I182009202,03301,Verbal Disputes,VERBAL DISPUTE,, ,,2018-02-04 12:37:00,2018,2,Sunday,12,Part Three,NORMANDY,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182009201,03115,Investigate Person,INVESTIGATE PERSON,, ,,2018-02-04 12:12:00,2018,2,Sunday,12,Part Three,DUDLEY,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182009200,01402,Vandalism,VANDALISM,D4,156,,2018-02-04 11:59:00,2018,2,Sunday,11,Part Two,MASSACHUSETTS AVE,42.33760719,-71.07825820,"(42.33760719, -71.07825820)"
I182009199,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,79,,2018-02-03 12:00:00,2018,2,Saturday,12,Part Three,THACHER ST,42.36528934,-71.05762284,"(42.36528934, -71.05762284)"
I182009198,02610,Other,TRESPASSING,D4,143,,2018-02-04 11:48:00,2018,2,Sunday,11,Part Two,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I182009197,03201,Property Lost,PROPERTY - LOST,E18,483,,2018-02-04 12:10:00,2018,2,Sunday,12,Part Three,MONPONSET ST,42.26368029,-71.09968298,"(42.26368029, -71.09968298)"
I182009196,03114,Investigate Property,INVESTIGATE PROPERTY,B3,413,,2018-02-04 11:23:00,2018,2,Sunday,11,Part Three,OAKRIDGE ST,42.27700963,-71.07431626,"(42.27700963, -71.07431626)"
I182009194,03301,Verbal Disputes,VERBAL DISPUTE,E5,822,,2018-02-04 11:18:00,2018,2,Sunday,11,Part Three,GEORGETOWNE DR,42.25661385,-71.14449037,"(42.25661385, -71.14449037)"
I182009193,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C11,254,,2018-02-04 10:50:00,2018,2,Sunday,10,Part Three,DEWAR ST,42.30995208,-71.05788994,"(42.30995208, -71.05788994)"
I182009193,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,C11,254,,2018-02-04 10:50:00,2018,2,Sunday,10,Part Three,DEWAR ST,42.30995208,-71.05788994,"(42.30995208, -71.05788994)"
I182009192,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,444,,2018-02-04 11:24:00,2018,2,Sunday,11,Part Three,ABBOT ST,42.29686162,-71.08584183,"(42.29686162, -71.08584183)"
I182009191,00361,Robbery,ROBBERY - OTHER,E18,522,,2018-02-04 11:07:00,2018,2,Sunday,11,Part One,HYDE PARK AVE,42.25332979,-71.12467152,"(42.25332979, -71.12467152)"
I182009190,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,771,,2018-02-04 05:00:00,2018,2,Sunday,5,Part One,EASTBURN ST,42.34760128,-71.15688618,"(42.34760128, -71.15688618)"
I182009189,03115,Investigate Person,INVESTIGATE PERSON,D14,799,,2018-02-04 10:39:00,2018,2,Sunday,10,Part Three,ASHFORD ST,42.35454980,-71.12746278,"(42.35454980, -71.12746278)"
I182009187,03807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,A1,80,,2018-02-04 11:02:00,2018,2,Sunday,11,Part Three,MARGARET ST,42.36570319,-71.05580301,"(42.36570319, -71.05580301)"
I182009186,03001,Medical Assistance,DEATH INVESTIGATION,D14,775,,2018-02-04 09:27:00,2018,2,Sunday,9,Part Three,WALLINGFORD RD,42.34252336,-71.15124869,"(42.34252336, -71.15124869)"
I182009184,00619,Larceny,LARCENY ALL OTHERS,D14,803,,2018-02-04 11:20:00,2018,2,Sunday,11,Part One,CAMBRIDGE ST,42.35515405,-71.13363463,"(42.35515405, -71.13363463)"
I182009183,01402,Vandalism,VANDALISM,D4,271,,2018-02-04 10:41:00,2018,2,Sunday,10,Part Two,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)"
I182009183,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,271,,2018-02-04 10:41:00,2018,2,Sunday,10,Part Two,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)"
I182009182,01402,Vandalism,VANDALISM,A7,12,,2018-02-03 20:00:00,2018,2,Saturday,20,Part Two,BENNINGTON ST,42.38504097,-71.01144733,"(42.38504097, -71.01144733)"
I182009181,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,256,,2018-02-04 10:36:00,2018,2,Sunday,10,Part Three,MOUNT VERNON ST,42.31779354,-71.04210959,"(42.31779354, -71.04210959)"
I182009180,03201,Property Lost,PROPERTY - LOST,E18,520,,2018-02-04 11:06:00,2018,2,Sunday,11,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
I182009179,00724,Auto Theft,AUTO THEFT,E13,639,,2018-02-04 11:04:00,2018,2,Sunday,11,Part One,SAINT JOHN ST,42.31400961,-71.11228844,"(42.31400961, -71.11228844)"
I182009178,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,438,,2018-02-04 10:19:00,2018,2,Sunday,10,Part Two,COLONIAL AVE,42.29040923,-71.07693574,"(42.29040923, -71.07693574)"
I182009175,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,285,,2018-02-04 09:53:00,2018,2,Sunday,9,Part One,COVENTRY ST,42.33695098,-71.08574813,"(42.33695098, -71.08574813)"
I182009174,00619,Larceny,LARCENY ALL OTHERS,C11,236,,2018-01-20 11:00:00,2018,1,Saturday,11,Part One,EDISON GRN,42.31942240,-71.05825306,"(42.31942240, -71.05825306)"
I182009172,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,754,,2018-02-04 09:20:00,2018,2,Sunday,9,Part Three,BRECK AVE,42.34871001,-71.16939641,"(42.34871001, -71.16939641)"
I182009171,00617,Larceny,LARCENY THEFT FROM BUILDING,A1,93,,2018-02-03 23:00:00,2018,2,Saturday,23,Part One,UNION ST,42.36068787,-71.05687293,"(42.36068787, -71.05687293)"
I182009170,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,186,,2018-02-04 09:28:00,2018,2,Sunday,9,Part Three,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I182009167,03410,Towed,TOWED MOTOR VEHICLE,C11,236,,2018-02-04 08:12:00,2018,2,Sunday,8,Part Three,COLUMBIA RD,42.32030801,-71.05765038,"(42.32030801, -71.05765038)"
I182009166,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,, ,,2018-02-04 06:59:00,2018,2,Sunday,6,Part Three,,42.34543689,-71.08181396,"(42.34543689, -71.08181396)"
I182009164,03018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,B2,261,,2018-02-04 02:40:00,2018,2,Sunday,2,Part Three,DUDLEY ST,42.32104169,-71.07215291,"(42.32104169, -71.07215291)"
I182009158,00611,Larceny,LARCENY PICK-POCKET,A7,16,,2018-02-03 08:00:00,2018,2,Saturday,8,Part One,FALCON ST,42.38196242,-71.03184460,"(42.38196242, -71.03184460)"
I182009157,03018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,B2,261,,2018-02-04 04:51:00,2018,2,Sunday,4,Part Three,DUDLEY ST,42.32104169,-71.07215291,"(42.32104169, -71.07215291)"
I182009154,03115,Investigate Person,INVESTIGATE PERSON,B3,441,,2018-02-04 03:32:00,2018,2,Sunday,3,Part Three,NIGHTINGALE ST,42.29540175,-71.08237834,"(42.29540175, -71.08237834)"
I182009151,03301,Verbal Disputes,VERBAL DISPUTE,B2,326,,2018-02-04 03:09:00,2018,2,Sunday,3,Part Three,LAWRENCE AVE,42.31161123,-71.07625600,"(42.31161123, -71.07625600)"
I182009148,03115,Investigate Person,INVESTIGATE PERSON,B3,459,,2018-02-04 03:21:00,2018,2,Sunday,3,Part Three,GLENARM ST,42.30438536,-71.07994459,"(42.30438536, -71.07994459)"
I182009147,02101,Operating Under the Influence,OPERATING UNDER THE INFLUENCE ALCOHOL,D14,796,,2018-02-04 03:02:00,2018,2,Sunday,3,Part Two,BRAINERD RD,42.34919979,-71.13002922,"(42.34919979, -71.13002922)"
I182009146,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,67,,2018-02-04 02:24:00,2018,2,Sunday,2,Part Two,PINCKNEY ST,42.35884543,-71.06738882,"(42.35884543, -71.06738882)"
I182009145,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,566,,2018-02-04 01:30:00,2018,2,Sunday,1,Part One,ELM HILL AVE,42.30762267,-71.08903351,"(42.30762267, -71.08903351)"
I182009141,03114,Investigate Property,INVESTIGATE PROPERTY,B3,432,,2018-02-04 03:32:00,2018,2,Sunday,3,Part Three,BALLOU AVE,42.28763040,-71.08067304,"(42.28763040, -71.08067304)"
I182009140,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,586,,2018-02-04 03:12:00,2018,2,Sunday,3,Part Two,CALUMET ST,42.32902859,-71.10093060,"(42.32902859, -71.10093060)"
I182009139,03018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,E18,520,,2018-02-04 03:00:00,2018,2,Sunday,3,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
I182009138,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,, ,,2018-02-04 02:08:00,2018,2,Sunday,2,Part One,,42.34917112,-71.08413075,"(42.34917112, -71.08413075)"
I182009137,01402,Vandalism,VANDALISM,, ,,2018-02-04 03:04:00,2018,2,Sunday,3,Part Two,,42.28839852,-71.13542561,"(42.28839852, -71.13542561)"
I182009136,03301,Verbal Disputes,VERBAL DISPUTE,B2,326,,2018-02-04 00:31:00,2018,2,Sunday,0,Part Three,CRESTON ST,42.31251728,-71.07977497,"(42.31251728, -71.07977497)"
I182009135,02101,Operating Under the Influence,OPERATING UNDER THE INFLUENCE ALCOHOL,A1,123,,2018-02-04 02:35:00,2018,2,Sunday,2,Part Two,BENNET ST,42.34940554,-71.06265454,"(42.34940554, -71.06265454)"
I182009135,02900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,A1,123,,2018-02-04 02:35:00,2018,2,Sunday,2,Part Two,BENNET ST,42.34940554,-71.06265454,"(42.34940554, -71.06265454)"
I182009133,01402,Vandalism,VANDALISM,A1,86,,2018-02-04 01:23:00,2018,2,Sunday,1,Part Two,COOPER ST,42.36444073,-71.05699892,"(42.36444073, -71.05699892)"
I182009132,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,261,,2018-02-04 02:37:00,2018,2,Sunday,2,Part Two,DUDLEY ST,42.32104169,-71.07215291,"(42.32104169, -71.07215291)"
I182009132,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,261,,2018-02-04 02:37:00,2018,2,Sunday,2,Part One,DUDLEY ST,42.32104169,-71.07215291,"(42.32104169, -71.07215291)"
I182009132,01848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B2,261,,2018-02-04 02:37:00,2018,2,Sunday,2,Part Two,DUDLEY ST,42.32104169,-71.07215291,"(42.32104169, -71.07215291)"
I182009131,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,76,,2018-02-04 02:48:00,2018,2,Sunday,2,Part Two,ANTHONY RIP VALENTI WAY,42.36398584,-71.06047223,"(42.36398584, -71.06047223)"
I182009128,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,795,,2018-02-04 00:44:33,2018,2,Sunday,0,Part Three,CAMBRIDGE ST,42.35335148,-71.13780663,"(42.35335148, -71.13780663)"
I182009127,02403,Disorderly Conduct,DISTURBING THE PEACE,, ,,2018-02-04 02:06:00,2018,2,Sunday,2,Part Two,,42.35553902,-71.13275759,"(42.35553902, -71.13275759)"
I182009126,03410,Towed,TOWED MOTOR VEHICLE,B2,266,,2018-02-03 22:48:00,2018,2,Saturday,22,Part Three,MOUNT PLEASANT AVE,42.32491307,-71.07677170,"(42.32491307, -71.07677170)"
I182009125,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,117,,2018-02-04 01:15:00,2018,2,Sunday,1,Part Two,STUART ST,42.35103105,-71.06373331,"(42.35103105, -71.06373331)"
I182009125,01107,Fraud,FRAUD - IMPERSONATION,A1,117,,2018-02-04 01:15:00,2018,2,Sunday,1,Part Two,STUART ST,42.35103105,-71.06373331,"(42.35103105, -71.06373331)"
I182009125,02610,Other,TRESPASSING,A1,117,,2018-02-04 01:15:00,2018,2,Sunday,1,Part Two,STUART ST,42.35103105,-71.06373331,"(42.35103105, -71.06373331)"
I182009125,02405,Disorderly Conduct,DISORDERLY CONDUCT,A1,117,,2018-02-04 01:15:00,2018,2,Sunday,1,Part Two,STUART ST,42.35103105,-71.06373331,"(42.35103105, -71.06373331)"
I182009124,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,B3,434,,2018-02-04 00:48:00,2018,2,Sunday,0,Part Three,DYER ST,42.28336878,-71.08038038,"(42.28336878, -71.08038038)"
I182009122,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,121,,2018-02-04 01:36:00,2018,2,Sunday,1,Part Three,STUART ST,42.35106637,-71.06549569,"(42.35106637, -71.06549569)"
I182009120,01501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B3,426,,2018-02-04 01:50:00,2018,2,Sunday,1,Part Two,RIVER ST,42.26802400,-71.09301057,"(42.26802400, -71.09301057)"
I182009118,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,203,,2018-02-04 01:37:00,2018,2,Sunday,1,Part Two,SUMMER ST,42.34654770,-71.04284093,"(42.34654770, -71.04284093)"
I182009116,03160,Fire Related Reports,"FIRE REPORT - CAR, BRUSH, ETC.",B2,289,,2018-02-04 00:54:00,2018,2,Sunday,0,Part Three,TREMONT ST,42.33364401,-71.09086302,"(42.33364401, -71.09086302)"
I182009115,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,121,,2018-02-04 00:31:00,2018,2,Sunday,0,Part Three,TREMONT ST,42.34942864,-71.06536641,"(42.34942864, -71.06536641)"
I182009114,03115,Investigate Person,INVESTIGATE PERSON,C11,334,,2018-02-03 23:31:00,2018,2,Saturday,23,Part Three,HANCOCK ST,42.31252055,-71.06434966,"(42.31252055, -71.06434966)"
I182009113,03304,Assembly or Gathering Violations,NOISY PARTY/RADIO-NO ARREST,D14,773,,2018-02-03 23:50:00,2018,2,Saturday,23,Part Three,KIRKWOOD RD,42.34126852,-71.15750565,"(42.34126852, -71.15750565)"
I182009113,02403,Disorderly Conduct,DISTURBING THE PEACE,D14,773,,2018-02-03 23:50:00,2018,2,Saturday,23,Part Two,KIRKWOOD RD,42.34126852,-71.15750565,"(42.34126852, -71.15750565)"
I182009112,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,552,,2018-02-03 19:00:00,2018,2,Saturday,19,Part Three,CORNELL ST,42.27650961,-71.13100618,"(42.27650961, -71.13100618)"
I182009111,03115,Investigate Person,INVESTIGATE PERSON,D14,797,,2018-02-04 01:03:00,2018,2,Sunday,1,Part Three,COMMONWEALTH AVE,42.35170571,-71.11989956,"(42.35170571, -71.11989956)"
I182009107,03114,Investigate Property,INVESTIGATE PROPERTY,B2,611,,2018-02-03 13:30:00,2018,2,Saturday,13,Part Three,NEW WHITNEY ST,42.33478090,-71.10947770,"(42.33478090, -71.10947770)"
I182009106,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,220,,2018-02-03 23:24:00,2018,2,Saturday,23,Part Three,DORCHESTER ST,42.33325233,-71.05028425,"(42.33325233, -71.05028425)"
I182009104,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,430,,2018-02-04 00:11:00,2018,2,Sunday,0,Part Two,BLUE HILL AVE,42.28480303,-71.09114391,"(42.28480303, -71.09114391)"
I182009103,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,783,,2018-02-04 00:21:00,2018,2,Sunday,0,Part Two,CAMELOT CT,42.35007312,-71.14108202,"(42.35007312, -71.14108202)"
I182009102,02405,Disorderly Conduct,DISORDERLY CONDUCT,A1,75,,2018-02-04 00:29:00,2018,2,Sunday,0,Part Two,PORTLAND ST,42.36423840,-71.06165515,"(42.36423840, -71.06165515)"
I182009101,03820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,C11,340,,2018-02-04 00:04:00,2018,2,Sunday,0,Part Three,DRAPER ST,42.30540715,-71.06547135,"(42.30540715, -71.06547135)"
I182009100,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,623,,2018-02-03 16:15:00,2018,2,Saturday,16,Part One,BEACON ST,42.34967078,-71.09391984,"(42.34967078, -71.09391984)"
I182009098,03301,Verbal Disputes,VERBAL DISPUTE,C11,396,,2018-02-03 23:42:00,2018,2,Saturday,23,Part Three,DORCHESTER AVE,42.29083470,-71.06288798,"(42.29083470, -71.06288798)"
I182009097,01830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,E18,495,,2018-02-03 23:21:00,2018,2,Saturday,23,Part Two,HYDE PARK AVE,42.26216909,-71.12185558,"(42.26216909, -71.12185558)"
I182009096,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,794,,2018-02-03 14:30:00,2018,2,Saturday,14,Part One,LONG AVE,42.35014612,-71.13607618,"(42.35014612, -71.13607618)"
I182009096,00619,Larceny,LARCENY ALL OTHERS,D14,794,,2018-02-03 14:30:00,2018,2,Saturday,14,Part One,LONG AVE,42.35014612,-71.13607618,"(42.35014612, -71.13607618)"
I182009095,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,, ,,2018-02-03 23:31:35,2018,2,Saturday,23,Part Three,,42.30069656,-71.07204167,"(42.30069656, -71.07204167)"
I182009093,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,648,,2018-02-03 23:27:00,2018,2,Saturday,23,Part Three,MCBRIDE ST,42.30590507,-71.11483979,"(42.30590507, -71.11483979)"
I182009091,02660,Other,OTHER OFFENSE,C6,914,,2018-02-03 21:57:00,2018,2,Saturday,21,Part Two,DR. MICHAEL GAVIN WAY,42.32614559,-71.05349144,"(42.32614559, -71.05349144)"
I182009089,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,E5,713,,2018-02-03 22:46:00,2018,2,Saturday,22,Part Three,GROVE ST,42.26696533,-71.16061183,"(42.26696533, -71.16061183)"
I182009088,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,161,,2018-02-03 23:08:00,2018,2,Saturday,23,Part Two,TREMONT ST,42.34701666,-71.06886238,"(42.34701666, -71.06886238)"
I182009087,03115,Investigate Person,INVESTIGATE PERSON,A15,38,,2018-02-03 22:23:00,2018,2,Saturday,22,Part Three,CONSTITUTION RD,42.37310288,-71.05784100,"(42.37310288, -71.05784100)"
I182009085,01402,Vandalism,VANDALISM,D14,802,,2018-02-03 22:48:00,2018,2,Saturday,22,Part Two,BRIGHTON AVE,42.35315862,-71.13289373,"(42.35315862, -71.13289373)"
I182009084,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,362,,2018-02-03 22:36:00,2018,2,Saturday,22,Part Two,MOULTRIE ST,42.29202737,-71.06796635,"(42.29202737, -71.06796635)"
I182009084,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,362,,2018-02-03 22:36:00,2018,2,Saturday,22,Part One,MOULTRIE ST,42.29202737,-71.06796635,"(42.29202737, -71.06796635)"
I182009084,01402,Vandalism,VANDALISM,C11,362,,2018-02-03 22:36:00,2018,2,Saturday,22,Part Two,MOULTRIE ST,42.29202737,-71.06796635,"(42.29202737, -71.06796635)"
I182009083,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,306,,2018-02-03 22:24:00,2018,2,Saturday,22,Part Two,COBDEN ST,42.31741922,-71.09567995,"(42.31741922, -71.09567995)"
I182009082,03115,Investigate Person,INVESTIGATE PERSON,B2,318,,2018-02-03 21:41:00,2018,2,Saturday,21,Part Three,SEAVER ST,42.30878855,-71.09055618,"(42.30878855, -71.09055618)"
I182009080,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,75,,2018-02-03 22:49:00,2018,2,Saturday,22,Part Two,PORTLAND ST,42.36423840,-71.06165515,"(42.36423840, -71.06165515)"
